,model_name,dataset,atk_name,atk_param,eps,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9
21,resnet20_Q3,svhn,random,-1,8,0.946757836508912,0.994583589428396,0.0532421634910879,0.06488168408113093,0.19760295021511987,0.1629917025199754,0.1105178242163491,0.09634296250768286,0.09119545175169022,0.07606023355869697,0.07540719114935464,0.06376767055931162,0.06123232944068839
22,resnet20_Q3,svhn,random,-1,10,0.9439920098340504,0.9941226183159187,0.0560079901659496,0.06349877074370006,0.19744929317762752,0.16372157344806393,0.11086355255070683,0.0962661339889367,0.09131069452980947,0.07613706207744314,0.07533036263060848,0.06438229870928089,0.06104025814382299
23,resnet20_Q3,svhn,random,-1,12,0.9388060848186848,0.993661647203442,0.06119391518131534,0.06292255685310387,0.19687307928703127,0.1633758451137062,0.11213122311001844,0.0969960049170252,0.0921558082360172,0.07582974800245851,0.07486939151813153,0.06415181315304241,0.06069452980946528
0,resnet20_Q4,cifar10,chess,-1,2,0.8089,0.9867,0.19110000000000005,0.0945,0.0956,0.116,0.1762,0.0776,0.0674,0.1153,0.0776,0.0914,0.0884
1,resnet20_Q4,cifar10,chess,-1,4,0.6168,0.9425,0.3832,0.1109,0.0872,0.1276,0.312,0.0456,0.0294,0.1122,0.052000000000000005,0.0616,0.0615
2,resnet20_Q4,cifar10,chess,-1,6,0.4976,0.902,0.5024,0.1269,0.0788,0.1286,0.4052,0.0305,0.0146,0.0918,0.0366,0.0474,0.0396
3,resnet20_Q4,cifar10,chess,-1,8,0.417,0.8638,0.583,0.1324,0.0681,0.127,0.4848,0.0223,0.0072,0.0708,0.0247,0.0389,0.0238
4,resnet20_Q4,cifar10,chess,-1,10,0.3522,0.8271,0.6477999999999999,0.1298,0.0597,0.1205,0.5541,0.0169,0.0036,0.052000000000000005,0.0181,0.0307,0.0146
5,resnet20_Q4,cifar10,chess,-1,12,0.305,0.7937,0.6950000000000001,0.1174,0.0527,0.1228,0.6084,0.013,0.0015,0.0377,0.0126,0.0247,0.0092
6,resnet20_Q4,cifar10,random,-1,2,0.9179,0.9973,0.08209999999999995,0.098,0.0985,0.0986,0.0981,0.1031,0.1004,0.1009,0.0972,0.1045,0.1007
7,resnet20_Q4,cifar10,random,-1,4,0.8973,0.9962,0.1027,0.0879,0.0964,0.1043,0.0996,0.1067,0.0939,0.1069,0.095,0.1089,0.1004
8,resnet20_Q4,cifar10,random,-1,6,0.862,0.9912,0.138,0.0792,0.0936,0.1094,0.0961,0.113,0.0833,0.122,0.0921,0.1116,0.0997
9,resnet20_Q4,cifar10,random,-1,8,0.812,0.9832,0.18799999999999994,0.0716,0.0866,0.1172,0.0898,0.1169,0.066,0.1544,0.0844,0.1124,0.1007
10,resnet20_Q4,cifar10,random,-1,10,0.7475,0.9692,0.25249999999999995,0.0637,0.0807,0.1214,0.0839,0.1219,0.0477,0.1974,0.0754,0.1095,0.0984
11,resnet20_Q4,cifar10,random,-1,12,0.6759,0.95,0.32410000000000005,0.058,0.0731,0.1219,0.0753,0.1226,0.0326,0.2537,0.0676,0.0982,0.097
12,resnet20_Q4,svhn,chess,-1,2,0.9504840196681008,0.9942762753534112,0.04951598033189919,0.06799323909035034,0.1987937922556853,0.16107098955132146,0.11013368162261833,0.09676551936078673,0.09065765212046713,0.0773279041180086,0.07598340503995082,0.0602719729563614,0.06100184388444991
13,resnet20_Q4,svhn,chess,-1,4,0.9492931776275352,0.9942378610940379,0.05070682237246471,0.0676859250153657,0.1987937922556853,0.16091733251382914,0.11001843884449908,0.0969960049170252,0.09061923786109403,0.07721266133988937,0.07582974800245851,0.060848186846957586,0.061078672403196074
14,resnet20_Q4,svhn,chess,-1,6,0.9495620774431468,0.9946220036877688,0.05043792255685309,0.06780116779348494,0.19906269207129687,0.1609941610325753,0.11005685310387216,0.09615089121081744,0.09061923786109403,0.07725107559926245,0.07613706207744314,0.060502458512599874,0.06142440073755377
15,resnet20_Q4,svhn,chess,-1,8,0.9492547633681624,0.9942378610940379,0.05074523663183772,0.06795482483097726,0.1987937922556853,0.16049477566072526,0.11024892440073757,0.09668869084204056,0.09073448063921327,0.0773279041180086,0.07613706207744314,0.060502458512599874,0.06111708666256915
16,resnet20_Q4,svhn,chess,-1,10,0.9498693915181315,0.9943915181315304,0.050130608481868455,0.06799323909035034,0.1993315918869084,0.16057160417947142,0.10986478180700676,0.09691917639827904,0.0906960663798402,0.07717424708051629,0.07579133374308543,0.06069452980946528,0.06096342962507682
17,resnet20_Q4,svhn,chess,-1,12,0.9494084204056544,0.9948524892440074,0.05059157959434546,0.06833896742470805,0.19929317762753526,0.16068684695759067,0.10986478180700676,0.09688076213890597,0.09054240934234788,0.07725107559926245,0.07598340503995082,0.06042562999385372,0.06073294406883836
18,resnet20_Q4,svhn,random,-1,2,0.9489474492931776,0.9948140749846344,0.05105255070682235,0.06757068223724648,0.19860172095881992,0.16057160417947142,0.10936539643515672,0.09726490473263676,0.0906960663798402,0.07725107559926245,0.07606023355869697,0.06123232944068839,0.0613859864781807
19,resnet20_Q4,svhn,random,-1,4,0.9483328211432084,0.994660417947142,0.05166717885679162,0.06730178242163491,0.19913952059004306,0.15991856177012906,0.10948063921327596,0.09714966195451752,0.09084972341733252,0.07736631837738167,0.07617547633681622,0.06111708666256915,0.06150122925629994
20,resnet20_Q4,svhn,random,-1,6,0.9477566072526121,0.9942378610940379,0.05224339274738786,0.06687922556853104,0.19944683466502766,0.15995697602950215,0.10928856791641058,0.0968039336201598,0.0908881376767056,0.07778887523048555,0.0762138905961893,0.06104025814382299,0.061693300553165326
21,resnet20_Q4,svhn,random,-1,8,0.9456438229870928,0.9939305470190536,0.05435617701290718,0.06637984019668101,0.1999078057775046,0.16014904732636756,0.10948063921327596,0.09676551936078673,0.09150276582667488,0.07713583282114321,0.07640596189305471,0.06092501536570375,0.06134757221880763
22,resnet20_Q4,svhn,random,-1,10,0.9431853103872158,0.993700061462815,0.056814689612784235,0.06580362630608481,0.19948524892440075,0.1600338045482483,0.10909649661954518,0.0966118623232944,0.09261677934849416,0.07694376152427783,0.07636754763368163,0.06142440073755377,0.06161647203441916
23,resnet20_Q4,svhn,random,-1,12,0.9380762138905959,0.9933543331284572,0.06192378610940385,0.06499692685925015,0.19887062077443146,0.15941917639827904,0.11005685310387216,0.09707283343577136,0.09388444990780576,0.07636754763368163,0.07675169022741242,0.06096342962507682,0.06161647203441916
